number,value,params_batch_size,params_num_layers,params_p_dropout,state
0,0.693,10,5,0.2931657388278597,COMPLETE
1,0.252,100,1,0.09105618304607016,COMPLETE
2,0.607,100,5,0.32520388257723193,COMPLETE
3,0.242,10,1,0.04329554155423815,COMPLETE
4,0.412,500,1,0.48811913635003285,COMPLETE
5,0.384,500,2,0.033960740510969034,COMPLETE
6,0.246,100,3,0.20258293306005787,COMPLETE
7,0.245,10,1,0.011884072327102035,COMPLETE
8,0.242,100,2,0.212601900233315,COMPLETE
9,0.248,10,3,0.24821462690659601,COMPLETE
10,0.246,10,4,0.09971031140016415,COMPLETE
11,0.242,100,2,0.3971718966772112,COMPLETE
12,0.252,10,2,0.1755145199393287,COMPLETE
13,0.24,100,2,0.12901208218616017,COMPLETE
14,0.247,10,1,0.12802489850587792,COMPLETE
15,0.305,500,2,0.03412793834209135,COMPLETE
16,0.225,100,3,0.14066773980033817,COMPLETE
17,0.25,100,4,0.14236026977284078,COMPLETE
18,0.24,100,4,0.07527210359037816,COMPLETE
19,0.234,100,4,0.07082338453692434,COMPLETE
